0,1,2,3,4,5
Python後端工程師,勤業眾信聯合會計師事務所,https://www.104.com.tw/company/17n3i7lk,不拘, 熟悉python語言及資料處理套件。, 熟悉python網頁後端架購，具有實際開發經驗尤佳。, 熟悉基本資料庫操作語法(T-SQL、E-SQL等)。, 略懂 javascript，具備D3.js實際開發經驗尤佳。, 開放、積極學習的態度與團隊合作的精神。,認真負責、有熱誠、抗壓性、具良好中英文表達及溝通能力，執行力強、具強烈企圖心。,,,,
Python 程式設計師,綠界科技股份有限公司,https://www.104.com.tw/company/18kmrfrk,1年以上,有工作熱誠、積極、細心、主動解決問題能力。,重視團隊合作、能互相討論與技術分享者。,,,,,,,,
[學生實習/工讀] 軟體工程師( Java/ Python),艾斯移動股份有限公司,https://www.104.com.tw/company/cv8shww,不拘,spring framework spring-boot spring-security...等等，各項spring projects.,Hibernate or JPA ,Maven or Gradle ,eclipse or IntelliJ ,基本的 shell 編輯 ,Python 3.7.x 以上 ,flask ,ptional: pandas numpy ,,
python工程師,富研智醫股份有限公司,https://www.104.com.tw/company/b7n8lc8,2年以上,對程式開發設計有興趣者,熟C# python django jquery html5 css3 json webapi者佳,具備基本SQL語法操作能力,溝通表達能力佳,主動積極學習新事物，認真負責,,,,,
Python Audio Engineer,Nityo Infotech Services Limited,https://www.104.com.tw/company/1a2x6bkp3b,不拘, 2 years of Android SSD driver working experiences. (focus on Audio SSD driver development is better) , C++/C/Python language programming capability , Analyzing Information Written test report Presentation Skills Attention to Detail Innovation. , Knowledge of audio signal processing algorithms (EQ compression echo cancellation etc.) and how to tune. , Knowledge of acoustic design for speakers and microphones. ," Skilled at audio and acoustic measurements using standard equipment from SoundCheck Audio Precision Bruel & Kjaer and/or HEAD Acoustics.""", Android APP programming capability,,,
Python 資深程式設計師,綠界科技股份有限公司,https://www.104.com.tw/company/18kmrfrk,3年以上,有工作熱誠、積極、細心、主動解決問題能力。,重視團隊合作、能互相討論與技術分享者。,有獨立帶領團隊執行專案開發經驗者。,,,,,,,
網站後台開發工程師-python,正美企業股份有限公司,https://www.104.com.tw/company/54om9kg,不拘,２年以上動態網站的開發經驗,精通Python，並至少掌握一種網頁框架（如Django/Web.py/Flask/Tornado等）,深刻理解MVC開發模式，有Web相關專案開發經驗者優先考慮,熟悉至少一種SQL資料庫,邏輯清晰、自我要求高，及良好的團隊精神；,,,,,
【系統所】Python後端工程師,資策會_財團法人資訊工業策進會,https://www.104.com.tw/company/2byd7nl,1年以上,熟悉Flask、Django或其他Python開發框架,熟悉MySQL或PostgreSQL資料庫操作,具有Git版本控制相關知識,具Linux環境開發經驗,具有Docker、Kubernetes等容器化技術使用者經驗尤佳,,,,,
Python 網頁後端工程師(台北總公司),山富國際旅行社股份有限公司,https://www.104.com.tw/company/aijifeg,1年以上, 1年至3年Python 網頁程式開發經驗 (Django或Flask), 熟悉git 基本操作, 熟悉基本SQL語法, 熟悉基本 HTML、CSS、JavaScript 語法, 有良好解決問題的能力,,,,,
Python演算法開發工程師_B,干城數碼有限公司,https://www.104.com.tw/company/1a2x6bk6fu,2年以上,熟悉 Python (2年以上開發經驗),熟悉 Git 版本管理工具、Docker、 Linux 操作,熟悉 OpenCV、Caffe 等相關演算法工具,擁有 Image Processing、Signal processing 相關知識,具備AWS、GCP 相關知識,Node.js 開發經驗(optional),,,,
